States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 2 3.62109 67 33 31 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaTbab Q_PDS
32 3 4 3.62891 91 33 45 aaaaaaaaTaaaaaaaaaaaaaaaaaaaaabbb Q_PDS
32 3 2 3.60938 63 34 20 aaaaaaaaaaaaaaaaaaaaaaaaaaaTaTaaTa Q_PDS
32 3 2 3.60938 73 55 21 aaaaaaaaaaaaaaaaaaaaaaaaaabbaaTbbaTbabaabaaaTaTaaTbbbab Q_PDS
32 3 2 3.62109 80 39 27 aaaaaaaaaaaaaaaaaaaaaaaaaTTaaabaaTTaaTb Q_PDS
32 3 2 3.62891 74 31 36 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa Q_PDS
32 3 1 3.60547 46 31 33 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaab Q_PDS
32 3 17 3.61328 88 33 172 aaaaaaaaaaaaaaaaaaaaaaaaaaaabTabb Q_PDS
32 3 2 3.60547 56 36 29 aaaaaaaaaaaaaaaaaaaaaaaaTaababaTbbab Q_PDS
32 3 1 3.59766 41 34 20 aaaaaaaaaaaaaaaaaaaaaaaaaTaTaaTbbb Q_PDS
32 4 4 3.64062 98 36 59 aaaaaaaaaaaaaaaaaaaaaacaacacaabacTcb Q_PDS
32 4 4 3.65625 97 32 55 aaaaaaaaaaaaaaaaaaaaaaaTacabbbTc Q_PDS
32 4 3 3.63281 71 33 49 aaaaaaaaaaaaaaaaabaaaaaaaaaaTbabb Q_PDS
32 4 109 3.65625 188 34 821 aaacaaaaaaaaaaaaaacaaTaaaabaacbccc Q_PDS
32 4 4 3.66016 102 32 49 aaaaaaaaaaaaaaaaaaaaaaaaabcTbaba Q_PDS
32 4 5 3.66016 115 51 47 aaaaaaaaaaaaaaaaaaaaaaaTaabTaaaTbTcaaTTTTbaacccaTcc Q_PDS
32 4 3 3.62109 78 37 42 aaaaaaaaaaaaaaaaaaaaaaaaacbbacacaaTbc Q_PDS
32 4 3 3.61719 71 32 49 aaaaacaaaaaaaaaaaaaaaaaaaaaaacTc Q_PDS
32 4 2 3.62109 53 38 34 aaaaaaaaaaaaaaaaaaaaaaaaaacbbbcaaaTaab Q_PDS
32 4 89 3.72656 289 32 620 aaaaaaaaaaaaaaaaaaaaaaaTaaaTacbc Q_PDS
32 4 2 3.63672 49 39 57 aaaaaaaaaaaaaaaaaaaaaaaaaaccTaacbacTaTb Q_PDS
32 4 2 3.625 51 33 45 aaaaaaaaaaaaaaaaaaaaaaacabTabTcTc Q_PDS
32 4 3 3.62109 56 32 54 aaaaaTaaaaaaaaaaaaaaaaaaabbbbbbb Q_PDS
32 4 2 3.60938 38 34 52 aaaaaaaabaaaaaaaaaaaaaaaaaaabbacab Q_PDS
32 4 3 3.62109 68 38 57 aaaaaaaaaaaaaaaaaaaaaaaaaabcabaTababTc Q_PDS
32 4 31 3.67188 195 33 249 aaaaaaaaaaabaaaaaaaaaaaaaTaaaabTc Q_PDS
32 4 6 3.64453 110 43 66 aaaaaaaaaaaaaaaaaaaaaaaacaaaacacTaTccbcTaTc Q_PDS
32 4 5 3.66797 113 35 53 aaaaaaaaTaaaaaaaaaaaaaaabcccbbabbcc Q_PDS
32 4 1 3.64062 30 30 37 baaaaaaaaaaaaaaaaaaaaaaaaaabcb Q_PDS
32 4 2 3.62891 40 42 45 aaaaaaaaaaaacaaaaaaaaaaaaabTacTcTabTbcTaab Q_PDS
32 4 4 3.64844 94 32 52 aaaaaaaaaaaaaaaaaaaaaaaaaabTacTb Q_PDS
32 4 2 3.63281 46 35 42 aaabaaaaaaaaaaaaaaaaaaaacbbcaacaabc Q_PDS
32 4 2 3.62109 51 33 43 aaaaaaaaaaaaaaaaaaaaaaaaacbTaTcTc Q_PDS
32 4 4 3.62891 80 34 57 Taaaaaaaaaaaaaaaaaaaaaaaaaaaabcaab Q_PDS
32 4 4 3.63672 97 34 49 aaaaaaaaaaaaaaaaaaaaaaaaacbbTabcbc Q_PDS
