Episodes Task Normalised_Cummulative_Reward
8 Q(RS) 0.86294
9 Q(RS) 0.68247
10 Q(RS) 0.92461
11 Q(RS) 0.94463
12 Q(RS) 0.95896
13 Q(RS) 0.99204
14 Q(RS) 0.63016
15 Q(RS) 0.56386
16 Q(RS) 0.77171
17 Q(RS) 0.65844
18 Q(RS) 0.99215
19 Q(RS) 0.92470
20 Q(RS) 0.91309
21 Q(RS) 0.94145
22 Q(RS) 0.99403
23 Q(RS) 0.90904
24 Q(RS) 0.93597
25 Q(RS) 0.96914
26 Q(RS) 0.97060
27 Q(RS) 0.98260
28 Q(RS) 0.82582
29 Q(RS) 0.93805
30 Q(RS) 0.99740
31 Q(RS) 0.99719
32 Q(RS) 0.93208
33 Q(RS) 0.97483
34 Q(RS) 0.82912
35 Q(RS) 0.79608
36 Q(RS) 0.81230
37 Q(RS) 0.88582
38 Q(RS) 0.99032
39 Q(RS) 1.00084
40 Q(RS) 0.81325
41 Q(RS) 0.94675
42 Q(RS) 0.98005
43 Q(RS) 0.99862
44 Q(RS) 0.99629
45 Q(RS) 0.88158
46 Q(RS) 0.99032
47 Q(RS) 0.96359
48 Q(RS) 0.85636
49 Q(RS) 0.96567
50 Q(RS) 0.81989
51 Q(RS) 0.99209
52 Q(RS) 0.99147
53 Q(RS) 0.99670
54 Q(RS) 0.87398
55 Q(RS) 0.89125
56 Q(RS) 0.96245
57 Q(RS) 1.00143
58 Q(RS) 0.98973
59 Q(RS) 0.94483
60 Q(RS) 1.00257
61 Q(RS) 0.98565
62 Q(RS) 0.99506
63 Q(RS) 0.89454
64 Q(RS) 0.99940
65 Q(RS) 0.92386
66 Q(RS) 0.87521
67 Q(RS) 0.99761
68 Q(RS) 0.88883
69 Q(RS) 0.95562
70 Q(RS) 0.96023
71 Q(RS) 0.99760
72 Q(RS) 0.94029
73 Q(RS) 0.96645
74 Q(RS) 0.99739
75 Q(RS) 0.98269
76 Q(RS) 0.99976
77 Q(RS) 0.97471
78 Q(RS) 0.98792
79 Q(RS) 0.97204
80 Q(RS) 0.95502
81 Q(RS) 0.95653
82 Q(RS) 1.00053
83 Q(RS) 0.97484
84 Q(RS) 0.99194
85 Q(RS) 0.97100
86 Q(RS) 0.99522
87 Q(RS) 0.95689
88 Q(RS) 0.98562
89 Q(RS) 0.99121
90 Q(RS) 0.99387
91 Q(RS) 0.99743
92 Q(RS) 0.99169
93 Q(RS) 0.95968
94 Q(RS) 0.99840
95 Q(RS) 0.99905
96 Q(RS) 0.97925
97 Q(RS) 0.99543
98 Q(RS) 0.99427
99 Q(RS) 0.99354
100 Q(RS) 0.99837
1 Q(RS) 0.00000
2 Q(RS) 0.69306
3 Q(RS) 0.95307
4 Q(RS) 0.90372
5 Q(RS) 0.93306
6 Q(RS) 0.68629
7 Q(RS) 0.72295
8 Q(RS) 0.96443
9 Q(RS) 0.89562
10 Q(RS) 0.87259
11 Q(RS) 0.91168
12 Q(RS) 0.64515
13 Q(RS) 0.95197
14 Q(RS) 0.84148
15 Q(RS) 0.95720
16 Q(RS) 0.94788
17 Q(RS) 0.98919
18 Q(RS) 0.98390
19 Q(RS) 0.97710
20 Q(RS) 0.99328
21 Q(RS) 0.76989
22 Q(RS) 0.96612
23 Q(RS) 0.87573
24 Q(RS) 0.95849
25 Q(RS) 0.98079
26 Q(RS) 0.73477
27 Q(RS) 0.99556
28 Q(RS) 0.90339
29 Q(RS) 0.83372
30 Q(RS) 0.85551
