States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 0 0.660156 11 10 10 aaaaaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 10 9 9 aaaaaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 9 8 8 aaaaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 3 0 0.660156 6 5 5 aaaaa Q_PDS
32 3 0 0.660156 8 7 7 aaacaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 3 0 0.660156 8 7 7 aabaaaa Q_PDS
32 3 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 abaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 6 aadaa Q_PDS
32 4 0 0.660156 7 6 6 adaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaabaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 acaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 7 6 6 aaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaca Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 5 4 4 aaaa Q_PDS
32 4 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 4 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 4 3 3 aaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 acaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 4 3 3 aaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 5 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 8 7 7 aabaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaac Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 6 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 7 6 7 aaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 4 3 3 aaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 4 3 3 aaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aaacb Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 8 7 7 aaaaaaa Q_PDS
32 5 0 0.660156 6 5 5 aeaaa Q_PDS
32 5 0 0.660156 10 9 9 aaaaaaaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 5 4 4 aaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
32 5 0 0.660156 7 6 6 aaaaaa Q_PDS
