States inputs Time(msecs) Memory(MB) Nodes Length Episodes Sequence Algorithm
32 3 2 3.69141 89 121 0 TcTcbaTcbTcTcaababTcabbbbTcbTcaabbTcaTcTcbbTcbaaTcbTcbbaaaabTcbbaaTcbaTcabaTcTcabTcaaTcaTcTcaTcbbbbaTcbaTcbaTcbTcbabaabTcbbaTcTcbTcaTcbTcbbTcbTcTcbaaaabTcbTcbTca Q_SS 
32 3 0 3.69141 31 33 0 aTcTcbTcbbbaabbTcabTcbabTcTcaaaTcTcbabbbbb Q_SS 
32 3 0 3.69141 27 35 0 baTcTcabbbbTcbbbaTcaTcTcabaaaTcaTcbabaTcaaab Q_SS 
32 3 5 3.69141 142 216 0 baTcbaaaabbbbTcabababbTcaabTcabaaabbbaTcTcbaaaTcbbbaabbTcabTcaaTcabbaTcTcabbbTcbbbTcaTcbTcbTcabTcbTcTcaTcTcbabbabbaTcbbbTcbbbaTcaaaaaTcTcbTcbbaaTcTcbaaTcaTcabTcaTcbTcaTcaaTcbbTcabTcbbTcaTcabTcTcbaabTcaababTcaaaaTcTcbabTcbbaaaTcabbabbaaaaaTcabTcTcTcaTcbTcaTcbbTcaTcbabTcabTcbTcb Q_SS 
32 3 1 3.69141 54 69 0 bTcaTcabbaTcTcabbbbTcaaaabTcbTcbTcaabbbbTcbaTcaaTcbabTcaTcabaTcTcaTcaTcbaTcaTcabTcabbTcTcab Q_SS 
32 3 2 3.69141 87 130 0 bTcbbbaTcbbTcaTcaTcbaabaaaaaTcabbabTcTcbTcTcbTcabaaTcabbTcbaaabbTcTcbabTcbaabbaaTcbTcbaTcbabbaTcTcbaaaTcbbbbbTcTcbaTcabbabTcabbTcTcbTcabaaTcbTcaababbabTcbbTcTcaTcTcbb Q_SS 
32 3 0 3.69141 41 52 0 bTcbTcTcTcabTcbaababbTcbaaabTcbbbbbTcaTcaabbabaabTcaaaTcbbaaTcTcb Q_SS 
32 3 2 3.69141 80 18 15 bTcbbTcbaTcbbTcbbTcTcbab Q_SS 
32 3 0 3.69141 17 21 0 TcabbTcaTcbbTcbbTcaTcaabbbb Q_SS 
32 3 0 3.69141 50 56 0 babaTcbabTcaTcTcbbbTcaTcbaaTcaabaaTcbbaTcabTcaaabTcaabTcbaTcabTcTcabbTcb Q_SS 
32 3 1 3.69141 61 89 0 aTcTcbbTcTcbbTcbaTcaTcaabaaTcbTcaTcabbabTcbbTcbTcbabbaaTcbbbaaaTcabbbaTcbbbTcbTcbaaababTcaTcbbabTcbaTcbTcabTcabTcb Q_SS 
32 3 3 3.69141 102 168 0 bbabaTcabTcbbTcbbbbbTcaabTcbbaTcbbaaaTcaTcTcaaabTcbabTcbaTcbTcbaababbabTcaaTcbTcbbaaTcaaTcbTcbabTcbaTcbTcabaaaaabTcbbabTcbTcaabbabaabbaabbbTcbTcaTcaaaTcbTcaTcbaTcaTcbTcbTcaTcaaaaTcaTcbTcbbaabTcabbbbabbbbTcabTcb Q_SS 
32 3 2 3.69141 100 108 0 TcbaaaTcabaaaaTcaTcbTcaabaTcaTcaTcTcTcaTcbaTcTcbaTcTcbbaaTcbbbabbTcTcbaTcaTcbbabTcaTcTcaabTcabaaTcTcTcbaTcbabbaaabbbabTcababaaabTcbbbaTcbTcb Q_SS 
32 3 1 3.69141 76 110 0 aTcTcTcaabTcababbaaTcTcbabTcTcTcabbbTcbaaabaTcbTcbaTcbTcbTcbaaaTcTcbTcbaaaabaaTcbTcbTcbaabbaTcbbbabaTcaabaTcaaabbbabTcaTcbTcaabaTcTcbTcbabTcb Q_SS 
32 3 0 3.69141 29 38 0 TcbbbaTcaTcTcbaaabTcabbbTcTcbaTcTcaTcbbbTcaaabbab Q_SS 
32 3 0 3.69141 26 27 0 TcbaTcTcbTcbTcbaTcbabbbTcaaaabbbab Q_SS 
32 3 0 3.69141 33 46 0 abbabTcTcaTcbaTcaTcbaaaTcbbTcbaTcbbaTcTcaaaTcaTcaTcTcbbTcaTcTcb Q_SS 
32 3 3 3.69141 115 149 0 bTcbabTcababaTcbbTcaTcabbTcaaTcTcbaTcabTcbbTcabTcbTcaTcaTcbbbTcTcbTcaaTcbTcTcababaaTcaTcbTcabbbaabTcbbTcaaTcbbbabbaTcbTcbaaTcaTcabbaTcbTcbbaTcaTcabbTcTcabbTcbTcbTcabaTcabbbbaabTcabTcbbTcbabbbbb Q_SS 
32 3 8 3.69141 200 38 19 TcaabbTcbbTcbbbbbbTcbabbTcbbTcaTcTcaTcTcbaabbbbb Q_SS 
32 3 5 3.69141 132 186 0 TcaaTcaaaaaaTcbabbTcTcaTcaaTcbaaTcaaTcbbbababbTcaTcbTcaTcbTcbabbTcabbbbbbaabTcaTcbTcbTcbTcbabbbTcTcbabbaaTcbTcaaaTcabbaaTcabbaTcaaTcTcbbbTcbbaTcabaaTcbbbTcaTcbbTcTcbTcbabTcaTcbaabbTcTcaTcaaaTcaaaaTcbTcaaTcbbTcbabTcaaaaTcbTcabaTcbaaTcaaTcab Q_SS 
32 3 0 3.69141 26 28 0 TcaaaabTcabTcabbabbbbaTcabTcbTcbTcb Q_SS 
32 3 6 3.69141 168 102 33 TcTcTcbabaaaaTcaababbTcabbbTcaaaaaTcbTcaabbaTcaTcaaabbbaaTcbTcbTcaaaabTcbaaaTcabTcTcbbaTcTcababTcabaaaTcTcbTcaabTcbaTcabbbTcabbb Q_SS 
32 3 1 3.69141 64 76 0 bbabTcTcbTcbaTcTcabaaabaaaaaTcbTcaabbaabbbTcaTcababbaTcbaTcbaabbTcaaaaTcTcTcabaaTcbbaaTcbbbTcb Q_SS 
32 3 0 3.69141 50 55 0 TcbTcaabbTcTcabbTcTcbTcbabTcTcTcaTcbaaaTcTcbaababbbbabTcaTcaaaaaTcaaTcbb Q_SS 
32 3 0 3.69141 27 27 0 bbabaTcabaaaabbabbaTcabbTcTcbbb Q_SS 
32 3 0 3.69141 38 42 0 baTcaTcTcabbaTcbbbbbTcabTcbTcbbbTcbaTcbabbTcbababbTcb Q_SS 
32 3 1 3.69141 58 79 0 TcbaTcTcbabaTcTcbTcaaTcbaaaTcTcaaabaTcaabaaabbbabaTcbbbbaaaTcbabaaabaTcbTcabTcaTcbbTcbTcbaTcbabTcab Q_SS 
32 3 0 3.69141 49 58 0 bTcbabTcbaabbTcbbaTcaTcabTcbTcaTcbbababaabTcTcbaTcaaTcaaTcbaTcbbbababaab Q_SS 
32 3 1 3.69141 73 96 0 aTcTcabbaaabbabbTcbaaTcbTcbTcTcaTcabTcbTcTcaaTcbaTcaTcaTcaTcbbaaaaababbabTcTcaTcaTcbbbbbbTcTcbTcbTcbaaabaTcbTcbbabbaabbaTca Q_SS 
32 3 0 3.69141 26 41 0 baabbTcaTcbTcabTcbTcbbTcbTcbTcbTcaTcTcbTcbTcTcaabaaTcbTcb Q_SS 
32 3 6 3.69141 166 219 0 babaTcbaTcbaTcTcTcTcbbTcaaTcaTcbbTcTcTcaTcbbaaTcbTcTcTcabbTcaabbbabaaTcbaTcbaaaabaabbbaTcTcTcbbbTcbaaabTcbTcaTcababaabaTcaTcbTcaabaTcbTcbabTcTcbaaTcbbbTcaaTcbbTcaTcababaaTcbTcbTcabaaaTcTcaaaaabababTcabbbbbbaTcbaTcabTcbaaTcbbaTcaabbaabTcbTcbbTcTcbabaaTcbTcbaaTcaTcaTcbabaTcbbTcTcTcTcb Q_SS 
32 3 1 3.69141 58 44 3 TcbbbbbbTcbaTcbTcbbaaTcbbTcbaabTcaabTcTcbabTcaTcaaTcbTcbb Q_SS 
32 3 1 3.69141 50 64 0 TcTcbTcaaaTcaTcTcbaTcTcaaabababTcaaTcbTcaTcabaTcTcbbbababTcbabbTcaTcabaTcaTcbTcbTcaTcb Q_SS 
32 3 0 3.69141 47 62 0 abbabbabbabTcaabbabaTcbTcbTcaabbabaTcbbTcaaTcTcbaTcaTcabaTcaTcaTcbbTcTcbTcbbTcb Q_SS 
32 3 5 3.69141 151 27 35 TcaTcaTcaTcaabababbTcTcaabbTcaTcbTca Q_SS 
32 3 0 3.69141 29 30 0 bTcbbTcaaaaTcbbTcTcaTcTcbabbaaabbbaTcb Q_SS 
32 3 1 3.69141 63 80 0 bTcbbTcaaaTcabTcaTcbbTcaTcaaaaaabTcaabababababbTcabTcTcaTcTcaaaTcaTcbTcabTcbbTcbabbTcabaTcaTcbbaTcabTcb Q_SS 
32 3 1 3.69141 70 85 0 TcTcbTcaTcaTcaaabbabbTcTcabaaTcbTcaaTcabababaaTcbTcbTcaTcaTcaabTcaaTcbaabaaTcaTcaaaaTcbbabbaTcaTcTcaaaabaTcTcb Q_SS 
32 3 0 3.69141 49 51 0 TcbTcaaTcaaaTcaTcTcabbaaTcTcabTcbaaaTcTcbaabaTcbbaaabbaabbbaabb Q_SS 
32 3 1 3.69141 63 76 0 aTcaaTcTcTcaTcabbTcaaTcTcTcbbabaTcTcaaTcaaTcaTcbTcaTcaTcTcbTcTcbbaTcbTcabaTcTcbbTcaTcbTcaabTcababTcaaaaTcb Q_SS 
32 3 0 3.69141 15 15 0 bbabbabTcbbbbbbb Q_SS 
32 3 0 3.69141 47 26 2 aTcababbbbabTcaabaaabbTcbTcbTcb Q_SS 
32 3 0 3.69141 40 43 0 bTcaTcbbaaaTcbbaabaaaabbbaaTcabTcaabababTcbaabaTcb Q_SS 
32 3 3 3.69141 123 66 8 TcbbbbbbaTcabTcbaabaTcbTcbTcaTcaaTcbTcbbbTcaaaTcabbaabbabaTcTcaaTcbbTcbabTcaTcabbTcb Q_SS 
32 3 2 3.69141 77 48 18 TcaTcaTcaTcaaTcaTcaaaTcTcabTcabTcbbTcaTcbbbbbTcbaTcbbaaTcababTcb Q_SS 
32 3 0 3.69141 43 49 0 TcbTcbTcbbbbaaTcaaaabbbbTcabbbbTcabaTcabbbTcaabbbTcaabbbab Q_SS 
32 3 0 3.69141 32 32 0 TcbbbTcTcaTcaaaTcbbTcTcbbbabababaabbbbb Q_SS 
32 3 0 3.69141 32 39 0 TcaaTcaTcTcbabTcTcbTcabTcbaTcaaaaTcbTcaTcTcbbTcabbTcab Q_SS 
32 3 1 3.69141 48 23 10 TcbaaTcabbbbbbbbTcbaaaaaab Q_SS 
32 3 7 3.69141 175 257 0 babTcbbaTcTcTcabTcbTcabTcTcaaaTcbaTcaTcaTcaaaTcabTcaTcbaaaTcaTcabaaabbaTcabaTcbTcabTcbTcaabTcbbaTcTcaaaTcbTcaaTcbaTcTcaaTcabTcaaaaaTcaabTcbbbbbbTcaabTcbTcaTcaTcaabbbbTcbbaaaaTcTcaTcbabbaaTcTcbTcabaaaTcTcaaabaabbbTcbabaaTcbababaabbTcbbTcabaTcbaabTcbTcbbTcbaTcTcbTcaabbbTcaaTcaTcTcTcbTcbTcbaTcabTcabTcbTcTcaaaabTcbaaTcaaTcbbaTcbTcTcbbab Q_SS 
32 3 9 3.69141 196 314 0 bTcbaTcaabbbabbbaaababaTcbbabbTcbTcbbaTcaTcaTcabbTcaabaaaTcaaaabTcbbbTcbaaaaaTcbababaabTcTcbaaTcbTcbaaTcbTcaTcaabbaTcbabTcbbbbbabaaTcbaTcbTcaTcbTcbaabbbTcbaaaTcbaaTcbbabTcaabTcaTcaaabababbaaTcbTcaababbbTcaTcbTcaabTcaaaTcbaaababaaabbTcTcaabbabbTcbabbbaaTcbbbaabaTcaaTcabaTcaTcabTcaTcbbTcbTcbabbbabTcbTcTcbabbaTcbbTcbbbbTcbaabTcabaaTcbbbTcbbaTcaTcbbabbbTcbTcTcabbTcbaTcbTcbabaabbbbbTcbb Q_SS 
32 3 1 3.69141 78 86 0 TcbTcaaTcaaTcbabaaaabTcTcaabaaaaTcbTcaTcTcTcbTcaaTcaaTcTcaabbbTcbaabbbbTcbaabbbabaaTcbTcTcTcbbbaTcaaTcbTcbbTcbb Q_SS 
32 3 0 3.69141 51 60 0 aTcTcbTcbTcTcTcbbbbbbbbTcaaTcbbbaTcbaTcbTcbTcaaaaabaababTcbbaaaaabaaTcaTcbb Q_SS 
32 3 0 3.69141 28 31 0 bTcbaTcTcababaTcabaTcaaTcbbaaTcTcbbTcbbb Q_SS 
32 4 1 3.69141 65 78 0 abTdaccbcbbbbTdbaTdcbTdTdaTdcaaaabcaabcbaaaTdbTdaaaaTdbcccbaaabTdbbTdabcaTdbbccbcacbTdaaTdab Q_SS 
32 4 1 3.69141 60 70 3 abbTdTdcbTdacabcTdacaTdTdccbaTdbbaTdcbabcaabccbbbbccTdabbbbTdcaaaabcacbbaTdbcbcbc Q_SS 
32 4 5 3.69141 168 47 10 bccbbbTdbTdcTdTdbbabbcbbaaaacTdccbTdbbcTdbbbTdaTdaaabbcb Q_SS 
32 4 0 3.69141 43 26 5 bTdTdTdabacabbbacTdccacacbbbbb Q_SS 
32 4 0 3.69141 25 26 0 cTdabbbaTdbbcaaaaaTdbcacTdbcab Q_SS 
32 4 2 3.69141 74 58 14 TdaTdcaaacbbTdbTdcbabaaTdTdaccabaTdTdcaccTdcbcbcaTdbaaTdccbTdTdcaaTdcTdbb Q_SS 
32 4 2 3.69141 95 23 19 bccccTdccccabbcacbTdaTdcTdc Q_SS 
32 4 0 3.69141 54 66 0 bbTdbbaTdbbTdccaTdbcacaccaabacccbbcTdTdccaTdccTdTdcaccTdcTdbTdacbTdaTdcTdbcabcbcb Q_SS 
32 4 1 3.69141 75 86 0 cacTdcccTdacbTdacccaTdaaabcccTdTdccacacbcbTdbccbTdcbbbccbabccbccaaaaaacabaTdabbTdbTdbTdbTdbTdaaTdaaac Q_SS 
32 4 1 3.69141 62 35 24 TdaTdTdaabbbbbTdccTdcaabbbcTdcbTdccTdaaTdcTdc Q_SS 
32 4 4 3.69141 145 32 27 bccbTdabccabbbbbTdbTdaTdcaabcTdbbabTda Q_SS 
32 4 20 3.69531 316 15 84 TdTdcTdTdcccacccaTdc Q_SS 
32 4 2 3.69531 100 108 2 cbccTdbcbbaTdccbcTdcTdbcaTdbaaTdccTdacbabbbcabaaTdaabTdTdcbaTdabTdaccbbcbabaTdabTdbccaaabcccTdbcbbbTdTdcaaabTdbbcTdTdccbbbacbbcc Q_SS 
32 4 4 3.69531 145 17 17 bccccbccTdbTdcccTdcc Q_SS 
32 4 3 3.69531 107 37 15 bbTdbcbcbbaabbbTdcbTdTdbbbacaaaTdaTdccTdaaTdc Q_SS 
32 4 9 3.69531 217 24 21 bbTdTdbTdTdbcbabTdaabbbTdcabTdc Q_SS 
32 4 7 3.69531 186 99 11 TdTdccccbccTdcaTdbTdbabaaaTdbccbTdbbcTdbTdaTdbbbTdbabbaaabcabacTdbTdcTdcacbaTdacTdcacabTdaabbTdbTdbbccaTdcTdTdaaTdacTdaabTdc Q_SS 
32 4 2 3.69531 96 93 10 TdbbabTdabTdabcTdTdaTdcTdaabTdbTdbTdbbTdbccTdTdTdaTdbaabTdTdcaTdTdacabcabbTdTdaTdcaaTdaTdbaTdcTdaaTdacTdbTdbcTdcccbabTdacTdTdb Q_SS 
32 4 59 3.89062 560 25 235 TdaTdaTdaTdaTdTdaabccabbbbbTdTdbb Q_SS 
32 4 2 3.89062 89 24 13 abbcbbbbTdbTdcbTdbcaTdccbaac Q_SS 
32 4 5 3.89062 152 11 40 ccccccccccc Q_SS 
32 4 2 3.89062 93 31 17 bbbcbbbTdbaacaTdbbcbbbbbTdccbcbbbb Q_SS 
32 4 3 3.89062 112 14 3 cTdcccaccTdccaTdc Q_SS 
32 4 4 3.89062 133 35 14 bcbcbTdcTdbbcaTdbcbcTdababcTdcTdbacTdcbabc Q_SS 
32 4 4 3.89062 138 37 31 TdaacbTdaTdaTdccbbbTdbabTdaccabbbbbbabbaacc Q_SS 
32 4 4 3.89062 123 32 20 bbbcbbbbbcTdacTdaTdbTdaacbcTdbTdcacTdbb Q_SS 
32 4 4 3.89062 144 31 26 ccccccccccbTdbcbcTdacTdTdbcTdbaTdTdbbb Q_SS 
32 4 2 3.89062 103 35 19 bbbbbbbbbcccccTdcTdcTdbaTdaTdccTdabcacaTdb Q_SS 
32 4 5 3.89062 148 28 8 cTdccbcccTdccaccTdTdaaTdcaTdacbTdab Q_SS 
32 4 47 3.89062 525 44 86 bbbbbTdcbaabTdaaTdbaaTdbcabTdTdbTdbaccbcTdccbabcTdcac Q_SS 
32 4 7 3.89062 157 48 61 TdaTdaTdaTdTdabTdaTdaTdabbbbbbbTdcTdccbcacbTdbcbcabcbbacbab Q_SS 
32 4 3 3.89062 111 59 7 ccbcccTdbcTdbabcccTdaccTdbcTdbaTdaTdacbTdcTdabbbacaabbbaacaaccTdTdaTdTdb Q_SS 
32 4 1 3.89062 78 12 15 bbbbbbbbbbTdb Q_SS 
32 4 37 3.89062 468 36 95 accccacccaTdcabacabTdTdTdbTdbTdbbbbacbTdbTdb Q_SS 
32 4 5 3.89062 167 124 9 bbcTdbbbTdaabbTdccTdabacababbcTdTdTdbcbacccbaaccbcTdbaaaTdbccaaTdacTdcccaacacbTdaTdbbaaTdcacccTdbcTdbaabacbbbcTdcaTdbbaTdbcTdTdccaacTdaTdcbaaccacbb Q_SS 
32 4 1 3.89062 85 99 0 cbTdacbcTdcaaaTdTdbTdbTdabcbaaTdcbaaTdcTdTdbTdbbaaTdccTdbabbbTdbacbbTdcTdbaabbbbbbccaaaaccaTdbTdcacbcabccbabbaaaTdbbTdb Q_SS 
32 4 5 3.89062 150 77 29 TdTdcTdcbacabccaTdcTdTdabTdaaccTdcTdbabbccbbaTdaaccTdbaTdbTdbbTdbabTdcbbcTdcbTdaTdcbbTdccTdccbcbc Q_SS 
32 4 1 3.89062 57 13 19 acccccccccccc Q_SS 
32 4 0 3.89062 26 24 8 ccccTdccTdacccacTdabTdTdaaTdTdc Q_SS 
32 4 24 3.89062 374 29 51 cccccccaccTdaccTdcTdbaTdaaaacaccc Q_SS 
32 4 3 3.89062 118 54 12 cTdccacaccaTdbcccbbaacaaaabTdacTdabTdcTdaTdaTdacacTdTdbabcTdcaTdcc Q_SS 
